,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value,List of Selected Features Names,Selected Features scores
264,CNS,60,7129,mRmr,LogisticsRegression,4,LOOCV,61,pred_time,0.0009965896606445312,AFFX-BioDn-3_at;U12778_at;X16323_at;M21642_s_at,0.9340680553754911;-4.580992956827581;-4.364326290160915;-4.2629645540618215
265,CNS,60,7129,mRmr,NB,4,LOOCV,61,ACC,0.45,AFFX-BioDn-3_at;U12778_at;X16323_at;M21642_s_at,0.9340680553754911;-4.580992956827581;-4.364326290160915;-4.2629645540618215
266,CNS,60,7129,mRmr,NB,4,LOOCV,61,MCC,-0.32220403352404814,AFFX-BioDn-3_at;U12778_at;X16323_at;M21642_s_at,0.9340680553754911;-4.580992956827581;-4.364326290160915;-4.2629645540618215
267,CNS,60,7129,mRmr,NB,4,LOOCV,61,AUC,0.4004884004884005,AFFX-BioDn-3_at;U12778_at;X16323_at;M21642_s_at,0.9340680553754911;-4.580992956827581;-4.364326290160915;-4.2629645540618215
268,CNS,60,7129,mRmr,NB,4,LOOCV,61,PR-AUC,0.2809008234090342,AFFX-BioDn-3_at;U12778_at;X16323_at;M21642_s_at,0.9340680553754911;-4.580992956827581;-4.364326290160915;-4.2629645540618215
269,CNS,60,7129,mRmr,NB,4,LOOCV,61,fit_time,0.0,AFFX-BioDn-3_at;U12778_at;X16323_at;M21642_s_at,0.9340680553754911;-4.580992956827581;-4.364326290160915;-4.2629645540618215
270,CNS,60,7129,mRmr,NB,4,LOOCV,61,pred_time,0.0,AFFX-BioDn-3_at;U12778_at;X16323_at;M21642_s_at,0.9340680553754911;-4.580992956827581;-4.364326290160915;-4.2629645540618215
271,CNS,60,7129,mRmr,SVM,3,LOOCV,61,ACC,0.65,AFFX-BioDn-3_at;U12778_at;X16323_at,0.9340680553754911;-4.580992956827581;-4.364326290160915
272,CNS,60,7129,mRmr,SVM,3,LOOCV,61,MCC,0.0,AFFX-BioDn-3_at;U12778_at;X16323_at,0.9340680553754911;-4.580992956827581;-4.364326290160915
273,CNS,60,7129,mRmr,SVM,3,LOOCV,61,AUC,0.1916971916971917,AFFX-BioDn-3_at;U12778_at;X16323_at,0.9340680553754911;-4.580992956827581;-4.364326290160915
274,CNS,60,7129,mRmr,SVM,3,LOOCV,61,PR-AUC,0.2241347156363021,AFFX-BioDn-3_at;U12778_at;X16323_at,0.9340680553754911;-4.580992956827581;-4.364326290160915
